店家帳號,上架時間,上架天數,itemID,商品標題,商品網址,總銷售件數,30天內銷售件數,售價,平均日銷(總銷件/上架天數),喜歡數,消費潛力(總銷件/喜歡數),評價數,評價綜合分數,給評率(幾個評價/總銷件),商品選項,商品api,商店api,選項售價,選項銷量,店鋪名稱
285542537,2020-11-25 01:58:20,109,6165266700,★現貨-快速出貨★西洋棋 國際象棋 實木高檔套裝 大號木質折疊棋盤 比賽專用chess 女王的棋局 木製國際象棋套裝免運,http://shopee.tw/★現貨-快速出貨★西洋棋 國際象棋 實木高檔套裝 大號木質折疊棋盤 比賽專用chess 女王的棋局 木製國際象棋套裝免運-i.285542537.6165266700,22,4,"966,2006",0.2018348623853211,28,0.7857142857142857,9,5.0,0.4090909090909091,"特大號45X45王高10.5cm下單宅配,超大號39X39cm 送入門指導+2皇后,特大45X45王高10.5+入門書下宅配,大號39X39王高8cm+入門書,中號29X29cm 送入門指導+2皇后,大號34X34cm 送入門指導+2皇后,中號29X29cm +入門書+2皇后,大號34X34cm +入門書+2皇后",https://shopee.tw/api/v2/item/get?itemid=6165266700&shopid=285542537,https://shopee.tw/api/v4/product/get_shop_info?shopid=285542537,"688.0,788.0,788.0,966.0,2006.0,1907.0,1212.0,1113.0","2,7,1,2,0,0,3,7",💕網拍首選💕極有家旗艦店 戶外 家居 3c生活館
265965505,2020-06-12 08:30:36,274,4437730450,台灣現貨秒發🚀 拉密 以色列拉密麻將 桌遊 旅行袋裝 盒裝版 大字版派對桌遊 聚會桌遊,http://shopee.tw/台灣現貨秒發🚀 拉密 以色列拉密麻將 桌遊 旅行袋裝 盒裝版 大字版派對桌遊 聚會桌遊-i.265965505.4437730450,476,116,"129,890",1.7372262773722629,375,1.2693333333333334,211,4.900474,0.4432773109243697,"旅行（袋裝版）,旅行（盒裝版）,正常盒裝版,大字盒裝版,6人版,狼人殺-鐵盒珍藏版,變臉魔方,貪吃變色龍,獨具慧眼,找你妹紙盒版",https://shopee.tw/api/v2/item/get?itemid=4437730450&shopid=265965505,https://shopee.tw/api/v4/product/get_shop_info?shopid=265965505,"199.0,350.0,590.0,790.0,890.0,159.0,189.0,129.0,199.0,199.0","189,100,74,62,27,8,14,2,0,0",蝦拼流行百貨
25886973,2021-02-09 03:52:23,33,5479172260,🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊,http://shopee.tw/🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊-i.25886973.5479172260,42,27,"880,880",1.2727272727272727,97,0.4329896907216495,21,4.904762,0.5,,https://shopee.tw/api/v2/item/get?itemid=5479172260&shopid=25886973,https://shopee.tw/api/v4/product/get_shop_info?shopid=25886973,880.0,42,嚇嚇情趣用品店(shotshotshop)
243296741,2020-04-22 09:21:22,325,7230544866,‼️台灣現貨‼️拉密 以色列拉密麻將 桌遊 旅行袋裝 盒裝版 大字版,http://shopee.tw/‼️台灣現貨‼️拉密 以色列拉密麻將 桌遊 旅行袋裝 盒裝版 大字版-i.243296741.7230544866,2654,164,"159,890",8.166153846153847,1312,2.0228658536585367,1103,4.883953,0.41559909570459685,"旅行（袋裝版）,旅行（盒裝版）,正常盒裝版,大字盒裝版,六人版（2-6人玩）,狼人殺-鐵盒珍藏版,(加購)狼人殺2020官方限定版,(加購)阿瓦隆—護貝版,(加購)德國心臟病4",https://shopee.tw/api/v2/item/get?itemid=7230544866&shopid=243296741,https://shopee.tw/api/v4/product/get_shop_info?shopid=243296741,"198.0,350.0,590.0,790.0,890.0,159.0,550.0,250.0,199.0","1257,680,358,163,126,51,5,3,11",Life樂活工坊
11767551,2020-01-07 10:28:14,431,6414226582,『旅遊便攜！買一送二』迷你麻將桌 迷你麻將 旅行麻將 袖珍麻將 旅行麻將 小型麻將 麻將桌 麻將桌遊 有桌腳,http://shopee.tw/『旅遊便攜！買一送二』迷你麻將桌 迷你麻將 旅行麻將 袖珍麻將 旅行麻將 小型麻將 麻將桌 麻將桌遊 有桌腳-i.11767551.6414226582,320,118,"489,489",0.7424593967517401,335,0.9552238805970149,151,4.801325,0.471875,"迷你麻將桌-綠色,迷你麻將桌-粉色,迷你麻將桌-藍色",https://shopee.tw/api/v2/item/get?itemid=6414226582&shopid=11767551,https://shopee.tw/api/v4/product/get_shop_info?shopid=11767551,"489.0,489.0,489.0","150,85,85",大爆炸3C-手機配件3C專賣店
80232902,2019-06-14 08:24:52,638,2314665741,[星桌遊]矮人礦坑 妙探尋兇 桌遊 富饒之城 抵抗組織 開膛手 花火 水瓶座 狼人 德國小強阿瓦隆射鴨子 天黑請閉眼,http://shopee.tw/[星桌遊]矮人礦坑 妙探尋兇 桌遊 富饒之城 抵抗組織 開膛手 花火 水瓶座 狼人 德國小強阿瓦隆射鴨子 天黑請閉眼-i.80232902.2314665741,1517,44,"49,189",2.377742946708464,649,2.337442218798151,295,4.833898,0.1944627554383652,"經典 富饒之城（送暗黑擴充）,黃盒誰是牛頭王,矮人礦坑1,水瓶座 現貨一盒,情書一盒(超Q愛心喲),犯人在跳舞,超美第五人格,藍盒誰是牛頭王(二代),矮人礦坑1+2大盒版（支援12人玩）,矮人礦坑雙人決鬥,很久很久以前,通緝令 經典盒裝,正版狼人殺便攜版 經典盒裝,拍蒼蠅 經典盒裝,鋤大象,開膛手傑克 便攜版,找你妹 方盒實體版,神奇形色牌,經典 阿瓦隆(送擴展),經典 政變現貨一盒,折來折趣/黑白折學（100題兒童益智）,懲罰啤牌,Bang牌 纸牌版（繁体中文）,妙探尋兇（繁体中文）",https://shopee.tw/api/v2/item/get?itemid=2314665741&shopid=80232902,https://shopee.tw/api/v4/product/get_shop_info?shopid=80232902,"119.0,89.0,79.0,99.0,99.0,89.0,99.0,99.0,189.0,99.0,129.0,99.0,99.0,99.0,89.0,99.0,99.0,99.0,99.0,119.0,99.0,49.0,99.0,159.0","183,89,56,63,83,178,48,59,122,22,56,24,79,31,23,36,33,18,181,32,45,11,51,44",星桌遊阿瓦隆矮人金礦誰是臥底卡卡頌富饒之城大富翁狼人殺三國殺小黑屋犯罪現場
59509357,2020-04-23 10:10:55,324,6031176364,【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌,http://shopee.tw/【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌-i.59509357.6031176364,6964,216,"99,99",21.493827160493826,1774,3.9255918827508456,1825,4.922192,0.26206203331418726,"基礎版綠盒(贈頭帶*8、空白卡*8、筆),擴充版黃盒(可獨立玩 贈頭帶、卡、筆),🐺狼人殺基礎版🐺",https://shopee.tw/api/v2/item/get?itemid=6031176364&shopid=59509357,https://shopee.tw/api/v4/product/get_shop_info?shopid=59509357,"99.0,99.0,99.0","3777,2946,61",七七市集 - 好物嚴選 ； 買東西找七七
25886973,2021-02-09 03:52:23,33,5479172260,🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊,http://shopee.tw/🔥現貨🔥《遊慾.前戲篇》成人卡牌遊戲 情慾 多人性愛 遊戲 約炮 炮友 多人運動 多P 桌遊-i.25886973.5479172260,42,27,"880,880",1.2727272727272727,97,0.4329896907216495,21,4.904762,0.5,,https://shopee.tw/api/v2/item/get?itemid=5479172260&shopid=25886973,https://shopee.tw/api/v4/product/get_shop_info?shopid=25886973,880.0,42,嚇嚇情趣用品店(shotshotshop)
28893170,2021-02-03 03:55:18,39,8813163592,神吐槽【瘋桌遊】過年派對必備桌遊│party、桌遊、歡樂、想像力│繁體中文唯一正版授權,http://shopee.tw/神吐槽【瘋桌遊】過年派對必備桌遊│party、桌遊、歡樂、想像力│繁體中文唯一正版授權-i.28893170.8813163592,111,52,"199,199",2.8461538461538463,45,2.466666666666667,68,4.985294,0.6126126126126126,,https://shopee.tw/api/v2/item/get?itemid=8813163592&shopid=28893170,https://shopee.tw/api/v4/product/get_shop_info?shopid=28893170,199.0,111,瘋桌遊官方商城
648436,2021-01-21 13:36:20,51,4377552280,當個創世神 桌遊 MINECRAFT 繁體中文版 高雄龐奇桌遊,http://shopee.tw/當個創世神 桌遊 MINECRAFT 繁體中文版 高雄龐奇桌遊-i.648436.4377552280,14,4,"1341,1341",0.27450980392156865,28,0.5,9,4.888889,0.6428571428571429,,https://shopee.tw/api/v2/item/get?itemid=4377552280&shopid=648436,https://shopee.tw/api/v4/product/get_shop_info?shopid=648436,2341.70887,15,🇳🇿高雄龐奇桌遊🇬🇧
